Any	Tipus	Milers	Desti
2004	5. Altres entitats	450.30	Formacio
2004	3. Empreses 	0.00	Formacio
2004	4. Hospitals i fundacions hospitalaries	268.40	Formacio
2004	2. Resta de RDI	2308.2	Formacio
2004	1. Universitats	10626.30	Formacio
2004	5. Altres entitats	0.00	Incorporacio
2004	3. Empreses 	0.00	Incorporacio
2004	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2004	2. Resta de RDI	81.80	Incorporacio
2004	1. Universitats	455.90	Incorporacio
2004	5. Altres entitats	419.90	Mobilitat
2004	3. Empreses 	0.00	Mobilitat
2004	4. Hospitals i fundacions hospitalaries	18.50	Mobilitat
2004	2. Resta de RDI	187.1	Mobilitat
2004	1. Universitats	914.40	Mobilitat
2005	5. Altres entitats	51.50	Formacio
2005	3. Empreses 	0.00	Formacio
2005	4. Hospitals i fundacions hospitalaries	408.80	Formacio
2005	2. Resta de RDI	2376.1	Formacio
2005	1. Universitats	15033.30	Formacio
2005	5. Altres entitats	60.00	Incorporacio
2005	3. Empreses 	0.00	Incorporacio
2005	4. Hospitals i fundacions hospitalaries	14.90	Incorporacio
2005	2. Resta de RDI	366.8	Incorporacio
2005	1. Universitats	608.30	Incorporacio
2005	5. Altres entitats	0.00	Mobilitat
2005	3. Empreses 	0.00	Mobilitat
2005	4. Hospitals i fundacions hospitalaries	5.00	Mobilitat
2005	2. Resta de RDI	184.2	Mobilitat
2005	1. Universitats	1919.20	Mobilitat
2006	5. Altres entitats	393.98	Formacio
2006	3. Empreses 	1762.30	Formacio
2006	4. Hospitals i fundacions hospitalaries	851.70	Formacio
2006	2. Resta de RDI	3011	Formacio
2006	1. Universitats	15258.30	Formacio
2006	5. Altres entitats	27.37	Incorporacio
2006	3. Empreses 	0.00	Incorporacio
2006	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2006	2. Resta de RDI	97.16	Incorporacio
2006	1. Universitats	414.91	Incorporacio
2006	5. Altres entitats	0.00	Mobilitat
2006	3. Empreses 	0.00	Mobilitat
2006	4. Hospitals i fundacions hospitalaries	55.00	Mobilitat
2006	2. Resta de RDI	212.9	Mobilitat
2006	1. Universitats	1962.90	Mobilitat
2007	5. Altres entitats	661.80	Formacio
2007	3. Empreses 	1867.50	Formacio
2007	4. Hospitals i fundacions hospitalaries	656.00	Formacio
2007	2. Resta de RDI	3935.3	Formacio
2007	1. Universitats	13801.30	Formacio
2007	5. Altres entitats	27.40	Incorporacio
2007	3. Empreses 	0.00	Incorporacio
2007	4. Hospitals i fundacions hospitalaries	0.00	Incorporacio
2007	2. Resta de RDI	190.8	Incorporacio
2007	1. Universitats	310.20	Incorporacio
2007	5. Altres entitats	67.50	Mobilitat
2007	3. Empreses 	0.00	Mobilitat
2007	4. Hospitals i fundacions hospitalaries	35.60	Mobilitat
2007	2. Resta de RDI	227.3	Mobilitat
2007	1. Universitats	1605.70	Mobilitat
2008	5. Altres entitats	678.40	Formacio
2008	3. Empreses 	350.00	Formacio
2008	4. Hospitals i fundacions hospitalaries	1144.80	Formacio
